URL,Type,Gender,Language,Duration,Comments,Availability,MD5
https://www.youtube.com/watch?v=N1nzpWXXqKE&list=PLlZ8mmxhMey3ynXDyXrh3Cr0ClRPCAyB9&index=3,Noise,N/A,N/A,13 sec,,,
https://www.youtube.com/watch?v=MYvjpbUFx0Y&list=PLlZ8mmxhMey3ynXDyXrh3Cr0ClRPCAyB9&index=4,Noise,N/A,N/A,30 sec,,,
https://www.youtube.com/watch?v=N1nzpWXXqKE&list=PLlZ8mmxhMey3ynXDyXrh3Cr0ClRPCAyB9&index=3,Noise,N/A,N/A,13 sec,,,
https://www.youtube.com/watch?v=QY1Hcm-RtG4,VoiceStudio,Female,English,9 min,,,
https://www.youtube.com/watch?v=6qSXlTPr2HA,VoiceStudio,Male,English,7 min 40 sec,,,
https://www.youtube.com/watch?v=D3ngrFpeM_A,VoiceReal,Multi,English,9 min,,,
https://www.youtube.com/watch?v=dgWANDHsTkQ,VoiceReal,Male,Other,9 min 47 sec,,,
https://www.youtube.com/watch?v=QVduwDX8YG0,VoiceReal,Male,English,3 min 1 sec,keyboard sound from 1:25 till 2:40 timespan,,
https://www.youtube.com/watch?v=5Xix__8yRtE,Noise,N/A,N/A,7 min 32 sec,,,
https://www.youtube.com/watch?v=UOS443b6JNU&list=PLDGWXUrEkstKnyX6Y8cDg5KI_z4aV0Lah&index=10,VoiceStudio,Male,Portugal,4 min 43 sec,,,
